ID,TIPO,NM_BAIRRO,NM_DISTRITO,CD_GEOCODMU,NM_MUNICIPIO,NM_MICRO,NM_MESO,NM_UF,CD_NIVEL,CD_CATEGORIA,NM_CATEGORIA,NM_LOCALIDADE,LONG,LAT,ALT
1,URBANO,Redondo,"ALTA FLORESTA D'OESTE",1100015,"ALTA FLORESTA D'OESTE",CACOAL,LESTE RONDONIENSE,RONDÔNIA,1,05,CIDADE,"ALTA FLORESTA D'OESTE",-61.9998238962936,-11.9355403047646,337.735719
2,URBANO,,"FILADÉLFIA D'OESTE",1100015,"ALTA FLORESTA D'OESTE",CACOAL,LESTE RONDONIENSE,RONDÔNIA,2,15,VILA,"FILADÉLFIA D'OESTE",-62.0438976671535,-12.4372387282654,215.244429
3,URBANO,,IZIDOLÂNDIA,1100015,"ALTA FLORESTA D'OESTE",CACOAL,LESTE RONDONIENSE,RONDÔNIA,2,20,VILA,IZIDOLÂNDIA,-62.1755494862916,-12.6014154908772,181.044807
4,URBANO,,"NOVA GEASE D'OESTE",1100015,"ALTA FLORESTA D'OESTE",CACOAL,LESTE RONDONIENSE,RONDÔNIA,2,25,VILA,"NOVA GEASE D'OESTE",-62.3186501358513,-11.9197924573341,191.576571
5,URBANO,,ROLIM DE MOURA DO GUAPORÉ,1100015,"ALTA FLORESTA D'OESTE",CACOAL,LESTE RONDONIENSE,RONDÔNIA,2,30,VILA,ROLIM DE MOURA DO GUAPORÉ,-62.2768122679487,-13.0798064324339,157.285277
6,URBANO,,"SANTO ANTÔNIO D'OESTE",1100015,"ALTA FLORESTA D'OESTE",CACOAL,LESTE RONDONIENSE,RONDÔNIA,2,35,VILA,"SANTO ANTÔNIO D'OESTE",-62.1044283378781,-12.0894388225116,407.707855
7,URBANO,,ARIQUEMES,1100023,ARIQUEMES,ARIQUEMES,LESTE RONDONIENSE,RONDÔNIA,1,05,CIDADE,ARIQUEMES,-63.0332692780484,-9.9084628665672,138.688981
8,URBANO,,CABIXI,1100031,CABIXI,COLORADO DO OESTE,LESTE RONDONIENSE,RONDÔNIA,1,05,CIDADE,CABIXI,-60.5443135812009,-13.4997634596963,236.06316
9,RURAL,,CABIXI,1100031,CABIXI,COLORADO DO OESTE,LESTE RONDONIENSE,RONDÔNIA,3,00001,POVOADO,PLANALTO SÃO LUIZ,-60.4152064894834,-13.3744467662961,264.992801
10,URBANO,Princesa Isabel,CACOAL,1100049,CACOAL,CACOAL,LESTE RONDONIENSE,RONDÔNIA,1,05,CIDADE,CACOAL,-61.4429442118224,-11.4338650286852,177.453547
